Item,Transaction,Kuantitas
CUTER TRANSPARAN,2,1
BATU BATRAI DYNAMAX,3,5
GELAS WILLY SET,1,1
BATANG KORDEN 1M,1,1
KORDEN SMOKRING,2,1
WALLPAPER DAPUR 5M,3,1
SPREI BONITA 180x200,4,1
CUTER TRANSPARAN,1,1
MASKER DUCKBIL ANAK,2,1
TREMOS SOLARIS LION STAR,1,1
PAYUNG LIPAT 3 DIMENSI,1,1
RAK SEPATU PORTABLE GENEVA 5SN,1,1
GELAS CANTEL KOPI,1,3
BOTOL MINUM 750ML SL,1,2
TEETH WHITENING,2,1
JEMURAN JUMBO STENLIS,3,1
AGAR-AGAR INACO 1 KG,1,1
SAPU CLASIC VINODA,2,5
PEL PELAN VINODA,3,5
CUTER TRANSPARAN,4,5
JEMURAN ALUMINIUM STANDART WARNA,5,5
PAYUNG 16 JARI,6,2
PAYUNG PELANGI JUMBO,7,2
KERANJANG PAJERO WARNA,8,2
TOPLES 16L,9,2
MASKER DUCKBIL ANAK,10,2
SAPU DUK BINTANG,11,3
SEROK JUMBO,12,2
CANGKIR LEPEK ROSE,13,2
PISAU SET GSF,14,2
PANGGANGAN OMICKO BULAT,15,2
PERASAN JERUK STENLIS,16,2
AGAR-AGAR INACO 1 KG,1,2
KERANJANG PAJERO WARNA,1,2
KIPAS WELHOME BERDIRI 1681,1,2
KIPAS WELHOME BERDIRI 1681,1,1
RACUN TIKUS,1,1
RICE BUCKET 17L,1,4
SAPU CLASIC VINODA,2,2
PEL PELAN VINODA,3,2
MAINAN TARIK,4,2
BASKOM JUMBO GSF,5,1
SPREI BONITA 160X20,6,1
ROYAL MEDICARE 140,7,1
MAINAN TRUK TTP 777,1,1
MAGICOM COSMOS CRJ 3306,1,1
JAM DINDING ANGKA,1,1
CUTER TRANSPARAN,1,2
JAM DINDING ANGKA,2,1
BANTAL GULING CANON,3,1
RAK SEPATU PORTABLE GENEVA 5SN,4,1
SINGLE HANGER BY SHENAR,1,1
RAK SEPATU PORTABLE GENEVA 5SN,2,1
SAPU LIDI PRING BULAT,3,1
GAGANG SUPERMOP,1,1
BANTAL/GULING MAHKOTA MERAH,2,1
GELAS CANTEL POLOS JUMBO,1,1
TIMBANGAN DAPUR KENMASTER,2,1
CUTER TRANSPARAN,3,1
RAK COSMIC 3SSN ABU,4,1
KANEBO BIRU,5,1
CUTER TRANSPARAN,1,1
BOTOL MINUM 750ML SL,2,1
TOPLES KACA SET 4PCS,1,1
BAK HITAM 28 SJP,2,1
JAM DINDING ANGKA,3,1
TOPLES KACA 700ML,1,1
KLEM SLANG,2,2
KARPET METERAN,3,5
RACUN TIKUS,4,2
CUTER TRANSPARAN,1,1
BOTOL MINUM 750ML SL,2,1
JEMURAN HOLDING TABITHA 30 STIK,1,1
PEL PELAN VINODA,2,1
TEMPAT TISU KOTAK PANJANG,1,1
JAM DINDING ANGKA,2,1
PISAU SET GSF,1,1
RAK PIRING ALUMINIUM BIASA,2,1
MANGKOK 2 WARNA,3,1
PIRING 2 WARNA,4,1
PIRING JAGO,5,1
GELAS RT KEMBANG,1,2
GELAS SOP BUAH,1,1
BOX CB 55,2,1
RAK AMAZING BY SHENAR,3,1
SAPU DUK BINTANG,4,1
RANTANG JAGO STENLIS,1,1
LEMARI LS2P NON KACA,1,1
SPREI ILLUSION 160,2,1
CUTER TRANSPARAN,3,1
GELAS RT KEMBANG,4,4
RICE BUCKET 17L,5,2
PIRING JAGO,6,2
SPREI MY LOVE 180 30CM,7,1
CANGKIR LEPEK JAGO,8,2
TREMOS SOLARIS LION STAR,1,1
MASKER DUCKBIL ANAK,1,1
SAPU DUK BINTANG,2,1
RAK AMAZING BY SHENAR,1,1
SPREI ILLUSION 160,1,1
JAM DINDING ANGKA,2,1
